,name,commit,is_bug,issue_number,tmm,lm,lc,dc,lpl,smells
0,icechen1/Notable,52128872db3c7273c73340d10bd73732ac4e0be7,0,16,2,1,0,3,0,6
1,icechen1/Notable,c0930e24a65284a8d2c523c045de151367c54b3b,0,13,2,1,0,3,0,6
2,icechen1/Notable,aa9a844d9532d1d22ff063885f69ee1a86875f90,0,12,2,1,0,3,0,6
3,icechen1/Notable,60c6eb7450aacf36d010d22ab3fc7eef1b791a67,1,11,2,1,0,3,0,6
4,icechen1/Notable,f83fc83805e14a751b3c1d9b46902397a72edcdf,1,10,2,1,0,3,0,6
5,icechen1/Notable,03ec37884402f07e51ab7ec5c1a8c23f42d5603e,0,8,2,1,0,3,0,6
6,icechen1/Notable,90c527806e15a81835be6a16f0a0be1fd24b723b,0,4,2,1,0,3,0,6
7,geecko86/QuickLyric,9f8da135469da0161f065b6e103d8ce6b3d4ae05,0,227,8,10,1,2,0,21
8,geecko86/QuickLyric,73ee6728b5f973bddd0b1259ea9c933b01ddca8f,0,207,6,10,1,1,0,18
9,geecko86/QuickLyric,36ae6b001f1f2cf203f291f2760b35308711441b,1,200,5,10,1,0,0,16
10,geecko86/QuickLyric,857f6e06f90a74e6335362921da9e1ed24405864,0,190,5,10,1,0,0,16
11,geecko86/QuickLyric,406f70bdd6de5acb6572631225088d238878a32b,0,171,6,7,0,0,0,13
12,geecko86/QuickLyric,3dd7ca99b31be63179b5d6285d6aa0bee18e650b,0,159,5,8,0,0,0,13
13,qqq3/good-weather,83f93cb99c5856d8ed85f3aee4377ece32cb1182,0,27,1,0,0,1,0,2
14,qqq3/good-weather,ceb550e54014b0ccdbfc7c9e3cca9a80b0d8a6c6,0,26,1,0,0,1,0,2
15,qqq3/good-weather,7f8f426f4d80bd2368a962cf40c922cbd7753780,0,25,1,0,0,1,0,2
16,qqq3/good-weather,982f4c2d97fc71e2e90ebb03da006ada634bc53d,1,22,1,0,0,1,0,2
17,qqq3/good-weather,e393e0788bdb1a47b0294a4ae2fd73b41665df43,0,19,1,0,0,1,0,2
18,qqq3/good-weather,2ab88ba7b7f06d2fc06078657f41e354447f74f1,0,18,1,0,0,1,0,2
19,qqq3/good-weather,961ae2becab5046c02c35b53a2001fb9f073fb39,0,14,1,0,0,1,0,2
20,qqq3/good-weather,2858ebcb0b6d81a3c1ff794b58bf9d180d3140c9,0,12,1,0,0,1,0,2
21,qqq3/good-weather,920d77a2fa5d1ca05c361d5338ffb9e698a48b34,0,6,1,0,0,1,0,2
22,qqq3/good-weather,36b4e54ffa1efbd36232ca77dddd278d57023669,1,5,1,0,0,1,0,2
23,qqq3/good-weather,b4420e903f307cf0ee5b7c9afeff30d90becc780,0,2,1,0,0,1,0,2
24,SecUSo/privacy-friendly-shopping-list,886fce67463ae331eeb1e95cc848632da87cee36,0,60,4,3,0,21,0,28
25,SecUSo/privacy-friendly-shopping-list,3fb36ef5d4e4f4eab87f0b12f44e74b4775b3751,0,39,4,3,0,21,0,28
26,SecUSo/privacy-friendly-shopping-list,ec99d2de5f6fd08c277a84e2c98ff5c7bb5abe61,1,35,4,3,0,21,0,28
27,SecUSo/privacy-friendly-shopping-list,0f08fec9a9959a7ba3ff91954aa922d609abd45a,1,31,4,2,0,22,0,28
28,SecUSo/privacy-friendly-shopping-list,9040f996e1f1753048ce834fb5b834863ba12b97,0,29,4,2,0,22,0,28
29,SecUSo/privacy-friendly-shopping-list,9391deb0936ed6e76317f2ede87efd858991448e,0,28,4,2,0,22,0,28
30,SecUSo/privacy-friendly-shopping-list,eb17f680734c60f8027f22cbe4999409f8c60ecf,1,26,4,2,0,22,0,28
31,SecUSo/privacy-friendly-shopping-list,9ebe6fa8f7f683550a537256e6824e34d468a710,0,23,4,2,0,22,0,28
32,SecUSo/privacy-friendly-shopping-list,1b6b6df9ff3e8e5962ebd5300475acb211a39060,0,17,4,2,0,22,0,28
33,SecUSo/privacy-friendly-shopping-list,f2fe1236aa8469f86911333ed30d9932093c39d4,0,12,3,2,0,22,0,27
34,SecUSo/privacy-friendly-shopping-list,465679e292a269aa2b4b167f83715e381ccf2a24,0,11,3,2,0,22,0,27
35,SecUSo/privacy-friendly-shopping-list,91b51f71038f6758aa58ec4c79f69792d4813aad,1,9,3,2,0,22,0,27
